number,text,filename
598,aus Mirpurkhas,0598.mp3
599,aus Pakistan,0599.mp3
600,Aus Österreich,0600.mp3
601,außer Betrieb,0601.mp3
602,Bar Bär,0602.mp3
603,bei ihrer,0603.mp3
604,bei Siemens,0604.mp3
605,beim Arzt,0605.mp3
606,bekommen bekommen,0606.mp3
607,bestimmt unbestimmt,0607.mp3
608,bezahlen kaufen,0608.mp3
609,Bild 1,0609.mp3
610,Bild 2,0610.mp3
611,Bild 3,0611.mp3
612,Bis bald,0612.mp3
613,Bis dann!,0613.mp3
614,bis Sonntag,0614.mp3
615,Bis später,0615.mp3
616,Bring mit!,0616.mp3
617,D eutsch,0617.mp3
618,Danke schön,0618.mp3
619,Danke schön!,0619.mp3
620,"Danke, gleichfalls!",0620.mp3
621,"Danke, gut!",0621.mp3
622,darf nicht,0622.mp3
623,das Adjektiv,0623.mp3
624,das Alter,0624.mp3
625,das Angebot,0625.mp3
626,das Asthma,0626.mp3
627,das Auto,0627.mp3
628,das Autorennen,0628.mp3
629,das Baby,0629.mp3
630,das Bad,0630.mp3
631,das Badezimmer,0631.mp3
632,das Bein,0632.mp3
633,das Bett,0633.mp3
634,das Bier,0634.mp3
635,das Bild,0635.mp3
636,das Bogenschießen,0636.mp3
637,das Boot,0637.mp3
638,das Boxen,0638.mp3
639,das Brot,0639.mp3
640,das Buch,0640.mp3
641,das Büro,0641.mp3
642,das dem,0642.mp3
643,das der,0643.mp3
644,das Deutsch,0644.mp3
645,das Deutschland,0645.mp3
646,das die,0646.mp3
647,das Englisch,0647.mp3
648,das Erdgeschoss,0648.mp3
649,das Essen,0649.mp3
650,das Fahrrad,0650.mp3
651,das Fenster,0651.mp3
652,das Feuer,0652.mp3
653,das Fieber,0653.mp3
654,das Fitnessstudio,0654.mp3
655,das Fleisch,0655.mp3
656,das Flugzeug,0656.mp3
657,das Gehalt,0657.mp3
658,das Gemüse,0658.mp3
659,das Genus,0659.mp3
660,das Gewitter,0660.mp3
661,das Glas,0661.mp3
662,das Gleis,0662.mp3
663,das Golf,0663.mp3
664,das Gramm,0664.mp3
665,das Handy,0665.mp3
666,das Haus,0666.mp3
667,das Herz,0667.mp3
668,das Hilfsverb,0668.mp3
669,das Hobby,0669.mp3
670,das Hotel,0670.mp3
671,das Hähnchen,0671.mp3
672,Das ist,0672.mp3
673,das Jahr,0673.mp3
674,das Kilo,0674.mp3
675,das Kind,0675.mp3
676,das Kinderzimmer,0676.mp3
677,das Kino,0677.mp3
678,das Kleid,0678.mp3
679,das Krankenhaus,0679.mp3
680,das Land,0680.mp3
681,das Leben,0681.mp3
682,das Lieblingsessen,0682.mp3
683,das Lieblingsgetränk,0683.mp3
684,das Lineal,0684.mp3
685,Das macht,0685.mp3
686,das Medikament,0686.mp3
687,das Meer,0687.mp3
688,das Menü,0688.mp3
689,das Modalverb,0689.mp3
690,das Museum,0690.mp3
691,das Mädchen,0691.mp3
692,das Nomen,0692.mp3
693,das Objekt,0693.mp3
694,das Obst,0694.mp3
695,das Ohr,0695.mp3
696,das Partizip,0696.mp3
697,Das passt,0697.mp3
698,das Perfekt,0698.mp3
699,das Plusquamperfekt,0699.mp3
700,das Problem,0700.mp3
